Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
1,153,pc1ru4ux6h72q4h4pjhm8vduzdgtxygvgmxntqupyu,Account,307468.08,Send to 'Azbit Exchange'
1,153,pc1r20dj5ux0ew0ce0u8kxwf0dq2dlj34kxsw0kmg5,Account,5600,
1,153,pc1zhwhf2z8uxkm3v2yh5xk6nrdpv34538hqsg76x9,Account,5200.47759931,Receive from 'Xeggex Exchange'
1,153,pc1r5ht5y224m99ac4dd4ps4lpetwwzya7tlvjg77c,Account,1574.15865221,Receive from 'Azbit Exchange'
1,153,pc1zdxa67nyd8rkvjrtu9e4fhw9djs739w8rhsp0qk,Account,997.426904386,
1,153,pc1z4kjarnp2fxzpspkpe85zyaawywwttsyujymz2y,Account,580,Send to 'Xeggex Exchange'
1,153,pc1rusuysxw4wexefewgh9jkxc8pp7e8sd5mxfwpap,Account,303.8447,
1,153,pc1rlsjvs88g66p6cvc89kjahfs2n333hfuedvkvw4,Account,211.89,
1,153,pc1rlcwy4gc5zkyrjxdu54rctt6wuz3g8szlmaela5,Account,208.57788604,Send to 'Wrapto Lock'
1,153,pc1rac97mrva0f8sq5l5z9kxdt3nvtmur0ark34f3s,Account,148.834581416,Send to 'Wrapto Lock'
1,153,pc1z3h0k9uj5a0vpujtnxmdsql6krd2lfac5wd4tcw,Account,26.08,
1,153,pc1r43aamw05uwcn569lx9n3rnvh99gq9a58llp4vw,Account,7.95,"Send to 'Azbit Exchange', Receive from 'Azbit Exchange', Send to 'Wrapto Lock'"
1,153,pc1rtx7dxkh7la2ch2acdetnsad8jva8ngyv2kewys,Account,4.78011052,Receive from 'Xeggex Exchange'
1,153,pc1r3gv5h65d5xdtxq92swhuslcqvlyw65sr6y4d22,Account,1.49,
1,153,pc1raul5lj30sssar8605apfhhkph2nv3sj7f3mmrg,Account,1,
1,153,pc1rwx8j4at3dlwxmrv0d8lgxkj7asrydpvpazxvh7,Account,0.98,Send to 'Wrapto Lock'
1,153,pc1z85pvrv7nwl6e40menm35p5usdekrw5lnmgm9en,Account,0,Send to 'Xeggex Exchange'
1,153,pc1zg0syjs4eugea7fzcl38fydcz9rlzjlj4c2drhr,Account,0,Send to 'Xeggex Exchange'
1,153,pc1rwyd9hu7vuesde94tl962u9fm8qgy38nwzzmz6a,Account,0,
