Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
1,252,pc1rjssvgmfd702dt66x9rjakumh2ry3x85s22spz8,Account,122575.74139311,"Send to 'Wrapto Lock', Send to 'Azbit Exchange'"
1,252,pc1rwmy6zrdxm38lpxrgp24fz2xc605ht54qpdn6n6,Account,13512.79,
1,252,pc1z79j3qjgeycqrcx56ququnfm98dnnd9gqx74xz4,Account,5464.83,Receive from 'Xeggex Exchange'
1,252,pc1z83unhl4630eh0xxgc42jr4s04ve930nfsd74tj,Account,5277.02,
1,252,pc1zgfsv2su4yddxwqlcswsc3s7k2q6atyvdq59zs8,Account,4963.93167276,
1,252,pc1rjv9rpa4vmfytzf2rnzwzrqcxwh2qr7nzf0dpvq,Account,4870.08795971,Receive from 'Azbit Exchange'
1,252,pc1r3n74et8xr7qjh0y76mxpc30xn3y8w7gvlljduc,Account,4266.86,Receive from 'Azbit Exchange'
1,252,pc1rm5szxgqycev7dx5hl5djgjwucw8c3zryyrfa2x,Account,3934.671265841,"Send to 'Wrapto Lock', Receive from 'Wrapto Lock'"
1,252,pc1zfxm7wtpugu4fane4u246qta0apu9zdu26jywza,Account,3811.015,
1,252,pc1r47tkx84q3rmcm4rex0xn3dvfvr2gqzdn4t9wm5,Account,3223.36138648,Receive from 'Xeggex Exchange'
1,252,pc1rrmw0vq2nhyl5gts9r0arpc5mwn85gkh2tkugj7,Account,2499.11441357,Receive from 'Xeggex Exchange'
1,252,pc1rfj83murfnmsdhht63h9gx4rtukn5p24xl22frh,Account,2096.3423,
1,252,pc1zus6ke5h34lsvgamz29hjgn3rpzypzz6a39pcv5,Account,2026.915,
1,252,pc1rpkwf2k0eapvu6wy2pphaydzhtqc9nevf9cg708,Account,1419.25853315,Receive from 'Xeggex Exchange'
1,252,pc1rvsn4zwmj2n2jt59cztcvjcp27q0rh9echjyw54,Account,1384.94,Receive from 'Xeggex Exchange'
1,252,pc1rv69e9qh8rqkllrz68aq2qcjl39rt5f3hpuvle8,Account,1071.44089439,
1,252,pc1z50tjhjjzxxg6yyvhngs7k4e8cm3pvqp7nh78pt,Account,1058,"Send to 'Xeggex Exchange', Receive from 'Wrapto Lock'"
1,252,pc1rdzn4xqaegfsl8t2wptlnqt7lm32a85znsqxmqr,Account,898.08293944,
1,252,pc1rp262sdg4rsrl2x9gmadc84pkln88zthfl4c2d4,Account,810.69402467,
1,252,pc1zc99dvc4xcdwc84va0au8ufk4p7rxx0mztmgm2m,Account,602,
1,252,pc1zxaww59xgajj68gkx7f3x50qsckdqcvp85k7yu2,Account,583.74,
1,252,pc1z65sg270d6asnnhyfn938cy6vrvga2dn2zrmk9v,Account,580.72192688,Send to 'Xeggex Exchange'
1,252,pc1zswekcah4g4rqlvt0ea6s828l8t6kgs2mmjsgmn,Account,536.00726586,Send to 'Xeggex Exchange'
1,252,pc1zrj40jr99kdcqkwuv3v3tx7v45qgvek9f2jrk08,Account,498.9216049,
1,252,pc1rp6he2l66an8s09q4wna8gv0d5rukklm746vx6v,Account,489.03,
1,252,pc1rdqaz3hfsgkjtykpgxsqy7c694p6eyw9dcuf8xs,Account,308.87,
1,252,pc1zqtsxayfevd6l79u85qn0w8y99ns7de4jngxacp,Account,277,
