Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
54,13,pc1pxx0enhx6l9dhg2nq79h30jvkeajvlxa0kjfznj,Validator,1000,
54,13,pc1pyzz239zg54a2vq663k03devs362rede7kw8ql0,Validator,1000,
55,103,pc1rs375ttf66tzl74qw7ht95xwmsul8x8kest90cv,Account,938.86,
55,103,pc1p242vyx28a92aldj4mahfwsmsvq3hkqtwdk8jww,Validator,1000,
55,103,pc1p3gqe73dyeqm9zwpgumsnljg42c8z0d9kvms9am,Validator,1000,
55,103,pc1p57l8f87rv2z5ptgsmfcz7hmd9gwvelvvutttpn,Validator,1000,
55,103,pc1p753l4ux4rw737eqsmfe2c59hz7faknv88yp23x,Validator,1000,
55,103,pc1p7w2dukhfzmx8d3l9vkdls7ezpg7cknr95540ay,Validator,1000,
55,103,pc1p882dfuzhm89scq9x549r6lnd6pm05tu3hqkg03,Validator,1000,
55,103,pc1pa3gzy4mpnv4exlg92c3cj0mj9ttph6qgecmzsu,Validator,1000,
55,103,pc1pa9sls7a5tnzyty4wx34nq5z98xs0my7yngxer5,Validator,1000,
55,103,pc1paa2k0ns7q4jtn76atm8gjvkjuz55xv9myjer5p,Validator,1000,
55,103,pc1pcfwwapqkpp37zl9hu2zee5pr4e2pn5u0dpp68q,Validator,1000,
55,103,pc1pd4fhl9z2ywdgsaulecu7vq4n2hn47qmagjlez6,Validator,1000,
55,103,pc1pdmg3nvrurcfe87jxalamtfpt97tsztg8jscztj,Validator,1000,
55,103,pc1plmdyu2r8vkuy3ftfveulenwqs6q0c0ysuy9wtd,Validator,1000,
55,103,pc1pnfjrmyvzzrredtjgch2aht3u3tcn63m9mqer2p,Validator,1000,
55,103,pc1ppuhdwtak9vyn6tmnxdf6xy3lt6u6fnrals4rdz,Validator,1000,
55,103,pc1pqdcw9qtdwcgzc0qpa6s4pe6k7hk678lepdufqm,Validator,1000,
55,103,pc1ps2qnz7xva2dnezq6czw95k60puagmf3qpmemul,Validator,1000,
55,103,pc1ptlzceqmarv2c46h7c3h8fpuf7hkf3y9gfhr8yr,Validator,1000,
55,103,pc1ptm73fzm2qn65s75dx02nyvszeq32u9539eypnn,Validator,1000,
55,103,pc1puskk8spzv90aa7u53nf09k9e6p3prya2p6h4r9,Validator,1000,
55,103,pc1pv004cdqvpxu37c09efae94j2a3j3c3vtd2zlkx,Validator,1000,
55,103,pc1pvkk08jvde6wjecsas88sufmdqptpkm3u8gtqdp,Validator,1000,
55,103,pc1px0ryscmfk8h4y7x70nxeyh9gp2wtud7x26kfkp,Validator,1000,
55,103,pc1pxpmpk7m2rgtvy9pdkpfx3kq3y9vmxql5tsgmxg,Validator,1000,
55,103,pc1pyq6zm9ghrj5lpr3c635vuqndxz4dqkqmy505er,Validator,1000,
56,17,pc1r3hutd6wr3r8n89a5lgv9gdtdse586ky5g2m07v,Account,1554.767809659,
56,17,pc1pp0zfxlu0q9tu6f4cr5nl25xsy4880hc7jdyren,Validator,1000,
56,17,pc1pp99qtzq77wse5pdz5d2xq4q5e08w4wuthpv90h,Validator,1000,
56,17,pc1pppd64swfjau4904en4774rlm2v5ce7pqyevewx,Validator,1000,
56,17,pc1ps00tnu2q3snpgnnvv0ma0l6aflamf3926dxqs8,Validator,1000,
56,17,pc1psxauhxzarlwmpx3pcthtj4rx22vt3qdsuehzmk,Validator,1000,
56,17,pc1ptlpd7h64vcuq0yveadmhj3ftsgkjr7qznn5j60,Validator,1000,
56,17,pc1pwgh9p3yr75gc2z0l80jykhr5ysx68uzq4ghm4v,Validator,1000,
56,17,pc1pwmgzz3w5e7v54luncwe33sl46wpzvl4ap04zs5,Validator,1000,
56,17,pc1p3423umc4ej03flc0lf27d2ckx6xuenc745h7au,Validator,1000,
56,17,pc1p39kh8k30383g5ktsugjwx6megefspft60rkll4,Validator,1000,
56,17,pc1p5dmyar9yxpyganj9ll7jzax6cygywjlzxtrqvc,Validator,1000,
56,17,pc1p5mqjs5h9x5v8lzurg2da8ng4alq2f54t9y6jm5,Validator,1000,
56,17,pc1p5rgjfum5xwqpzr5d9f39347eu7787hpqed4wmr,Validator,1000,
56,17,pc1p5y3euldq086v4g5qnpd00d9et8d2xhe9pr3cmr,Validator,1000,
56,17,pc1p5zzp3nkt0hd4627dlt5sg0mwmh3gr0pv8pfnvx,Validator,1000,
56,17,pc1p7uth402nl95x2a9660snt8fr2szgrgsv72fqlf,Validator,1000,
56,17,pc1p9l0gvl34cn25k825ug7pg2e2599nc9auwf98kp,Validator,1000,
56,17,pc1pcxhvfs0h9z8hjcd75r23kkn4h5t9zr9h42w2v9,Validator,1000,
56,17,pc1pdhtv75tnypcunzeqca5njvxdwlv87j2q89392y,Validator,1000,
56,17,pc1pg9atxw06gkxrvsmgfhlssy9xun9cl7mtevkcdj,Validator,1000,
56,17,pc1phkkjz78nd9kpdptcm0n4rkcpxcs4lxv3pvgnmj,Validator,1000,
56,17,pc1pjjtjsqn9n3ttyhvl7lqeq9dspvj4ja276rptx8,Validator,1000,
56,17,pc1pjny5ppm4gq8qrcquax4jjz9mph8zee628k2q9p,Validator,1000,
56,17,pc1pk03egfcza0gh4d42kxcp4duqu6kmfrz9ajvxxv,Validator,1000,
57,133,pc1rzn78x80wuu86dkktg8tdt76hk08a2n6nxjrnej,Account,504.13,
57,133,pc1p0a52wlc34uyp6zvau5h2d94n6pd7ds668hp5wv,Validator,1000,
57,133,pc1p0s0mp2kf0sq26magv528uavcktnj9zgaf888ge,Validator,1000,
57,133,pc1p0ypp0f45qh5nj2wtveucc3w8jc5vgz22v27l6r,Validator,1000,
57,133,pc1p3lpvqv3e32dncez5406fef34ynzfs2rqmn3696,Validator,1000,
57,133,pc1p4xhuh9q3wfsn6mxpnz9wzpxjfex69hxqgmm2zh,Validator,1000,
57,133,pc1p6f8ce2gvr7ku7dqkn4g44zlurllsn6syhn7w6k,Validator,1000,
57,133,pc1p6za7emjsd8np69auy6zsaewzr0a4lvfz6emwl2,Validator,1000,
57,133,pc1p708ka3zk7eme4r9d2meq08tpnp0uw8d7u5ntcw,Validator,1000,
57,133,pc1p8sjunk4ghqed9jp7xausd57xa3qk8u9zr79lh6,Validator,1000,
57,133,pc1p99qy5mmrmdmr0w3hey7dc45rgr78tc2kmeeqr7,Validator,1000,
57,133,pc1pe3mva6n3m209cs5k3pwmfx8vj6grlq7sckgh34,Validator,1000,
57,133,pc1pe4saq9f9tnxtdll8twv59gp6x6j2g5mnrwmhkk,Validator,1000,
57,133,pc1pe96wxj08hvms04472z5n0ndmq6wnpqg7wed6ll,Validator,1000,
57,133,pc1pg9pjv8yugm4t0n2707k90ph55jqacpx2cm2gq4,Validator,1000,
57,133,pc1pgf3vrkemgj688973d2a90rcautdyw5076vfag0,Validator,1000,
57,133,pc1phrm4s4m7rusa0vhp08rrlzxrkswldhy4kp8w8x,Validator,1000,
57,133,pc1pm04wl46qlyy60vg2nuqhx4rlp9rzs2q7z7kvr4,Validator,1000,
57,133,pc1ppd7czalp909jdflu5tkx5dlflmep84vv0k5x0l,Validator,1000,
57,133,pc1ps6ftmmegrhm7a8zma532egew3q6llnq43q2j0r,Validator,1000,
57,133,pc1ptllmvwkztvkzrdd2rjws9kkc97lkzjzqyzp2th,Validator,1000,
57,133,pc1pv9fgx6gfhg06zlf8jvaaxzkmanncv06625q9g5,Validator,1000,
57,133,pc1pvvat6nvd8nvy535rc072dx36lv2fcjsx534h3d,Validator,1000,
57,133,pc1pxf2w4saxc3n7elu0e95fcncpgp5kscap60z6ry,Validator,1000,
57,133,pc1pyg263knymce0dupwfqlv9udxjd0m3j479493zw,Validator,1000,
57,133,pc1pyp44slfztlj5eqchhgr2ulge8adm0xn86sl2k0,Validator,1000,
58,56,pc1rew3my62hhqzjlnj3rwum7zqcx646za5a5z93zd,Account,466.3,
58,56,pc1p308ds26c3hzghwjn0jcjeeml56a3vgvej3m6l6,Validator,1000,
58,56,pc1p3zsn9s50a56nu2522vvu5x5fenavvm4x6wr58s,Validator,1000,
58,56,pc1p6pg3r39zs84wnl9ll8svaeawkq4ktu55h7uh67,Validator,1000,
58,56,pc1p6v8sus2vuj4qtlhjj0xs900pc2j5yx35h6gdda,Validator,1000,
58,56,pc1pax04vqznk27hnd9k2gmdskpnzcw06y5ara54n0,Validator,1000,
58,56,pc1pcwennlywjgjsphuaudddell2ty5qww4m88wqa5,Validator,1000,
58,56,pc1pf3txg7vq8mqmxcdvq4uacgnuvcz5fla5c0fxkr,Validator,1000,
58,56,pc1pfv3cx0ul92gv0uk49zfal0ga2f7px2l36auxaw,Validator,1000,
58,56,pc1pg6deuxtxr7gfzkmccldaj0hzfwvn3652u3rrpz,Validator,1000,
58,56,pc1ph58a8hzzcd6jflquuzjtj4d2a0295uplr2cr7g,Validator,1000,
58,56,pc1pjsazs88jggpghsq2nqn9urpgx2hhvtcejqfhnk,Validator,1000,
58,56,pc1pjulvt3k7puwq6w498548d96f7hp9tep2xumm9w,Validator,1000,
58,56,pc1pmgmxky4pag22d3m5sl7gpmusgyusy9lgt6f904,Validator,1000,
58,56,pc1pmp6z43x9qgxped6300d3kep3dzpykhjs5v3y2f,Validator,1000,
58,56,pc1pmua4wnp39mg3szuzk8knpzlc2l4s3v2dtqvaaa,Validator,1000,
58,56,pc1pnv0qt9ac52vfyz6g3l7dp4xqqfw5jyj0qeyef5,Validator,1000,
58,56,pc1pp8veg6ns2n3jq0j6l30t5ead62l6n9rc8ge7as,Validator,1000,
58,56,pc1pqlt09wm323ussmdmvdee0g84uw8gcd3r9rrfz6,Validator,1000,
58,56,pc1pqn86k5zqug9wm85acs9u9e93sctq39zhu0k4q3,Validator,1000,
58,56,pc1pqq7m5l3e5tp5llctg6nqjqy9xc0l36nkvf5ncv,Validator,1000,
58,56,pc1prgq9zn4q3m8kzenehh7579llpanx064ek4lr9k,Validator,1000,
58,56,pc1pvmxtghz30auwmqzeh4x4jl2mp4q32lzdgt7ea7,Validator,1000,
58,56,pc1py5lam6yn299k24uusaxydrhvaf0h6zxgkdq9vu,Validator,1000,
58,56,pc1pykwlw77lzyfankqlrz59a95s6xhzerxgjznfzy,Validator,1000,
