Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
1,33,pc1rca8ux3jm74r5nydqmmk0jvyfa4fg0f49vzytku,Account,175154.54482,
1,33,pc1ru4ux6h72q4h4pjhm8vduzdgtxygvgmxntqupyu,Account,141856.78,
1,33,pc1rek8n7m9hra4w0zlwsmufndrxftemkever9lsdy,Account,179.91,
1,33,pc1rwcr3kg3mmdpxx6tpefwseyrpkczlfgf8ydkac4,Account,112.78,
1,33,pc1zswmlszguarh9vyj3ped47w7ef2vszmhcslwyte,Account,38.92610104,
1,33,pc1rhkmatvwaqyx7ttvp3kn08v9mue2ugcnk9d5zp0,Account,32.9,
1,33,pc1rwj92farhhpuq48hz8r79ef9cdmdth56282p9ul,Account,30.81,
1,33,pc1zy3cep3fwf3czpu3qmkvlfvs6m973gqrspy7wcy,Account,18.126,
1,33,pc1rxfeenl9es22d3m0a3u4fg4rg3gh9hnnrj8xhd2,Account,17.14109212,
1,33,pc1ravegckn4tccszck0nufe96nt7v02rxcwv3fdva,Account,14.55,
1,33,pc1rkwavm475fqrmg30c26m4fmul56cq4hlh9mnfka,Account,2.1,
1,33,pc1rtwyrelv6setzrcqa9u6z6slhdn9c305j9jh7u9,Account,0.609641,Receive from 'Azbit Exchange'
1,33,pc1rf778w4gm5knl4yht45ly2u52edrlhht536275k,Account,0,
1,33,pc1r8lwypg9kg98wjs7kagsjzfyachdgpk9kpsg0ks,Account,0,
1,33,pc1zu0ez67rz4ks89u0n5m5ga34saqw5e5uzm44hl9,Account,-0.293469489,
1,33,pc1pms73dphm7zdryex47p0qsqkf99mfjgsj9kgnnk,Validator,1000,
1,33,pc1pn54dmhj46yda5mash2n76dc3gxc6t0vzqevy5c,Validator,1000,
1,33,pc1pnn9utwug6mevz65clhuxlpxz56vz3mjhvp2fdh,Validator,1000,
1,33,pc1ps05czwgwgd07mh36crr6wmwph043xujxmeyhus,Validator,1000,
1,33,pc1pc4u2qgptcyw6tfmncrych47sus4rl4kncv7nu6,Validator,1000,
1,33,pc1pnpqmj8wq0xe3y8vyd2s0y7eq947z9uf7rkwzdz,Validator,1000,
